,Seeking for Work or Business Opportunities,Relocation for Work,Study or Training,Trailing Family Member,Going to Relatives,Housing Demolition and Relocation,Temporary Change of Hukou,Marriage,Other,New Other,,Seeking for Work or Business Opportunities,Relocation for Work,Study or Training,Trailing Family Member,Going to Relatives,Housing Demolition and Relocation,Temporary Change of Hukou,Marriage,Other
National Average,69.7384157,2.035753129,4.550409632,11.35736545,4.006080465,0.950466435,0.127352012,5.018115964,2.216041209,7.299940121,37518842,26165046,763791,1707261,4261152,1503035,356604,47781,1882739,831433
Beijing,67.92144621,3.678825739,5.020557897,9.684739552,5.629526559,0.79245473,0.163910077,5.409125767,1.699413466,8.285304832,3218228,2185867,118393,161573,311677,181171,25503,5275,174078,54691
Tianjin,69.48590304,1.921379957,4.690664972,9.803612272,3.288995699,1.231587201,0.802160126,4.091248614,4.684448115,10.00719114,1077715,748860,20707,50552,105655,35446,13273,8645,44092,50485
Hebei,41.97327283,3.311709299,10.25981821,17.57136921,6.158727227,2.278933551,0.376469269,12.5436988,5.526001609,14.34013166,606424,254536,20083,62218,106557,37348,13820,2283,76068,33511
Shanxi,37.865605,2.221160013,6.042995268,32.25976258,2.778718976,0.871885475,0.166995414,13.31788424,4.474993042,8.292592906,330548,125164,7342,19975,106634,9185,2882,552,44022,14792
Inner Mongolia,45.54910158,2.708028431,3.93192895,29.31043702,4.234141279,1.258557897,0.126945022,9.299663526,3.581196293,9.200840491,504943,229997,13674,19854,148001,21380,6355,641,46958,18083
Liaoning,47.42561478,2.274548099,8.543433801,18.48328974,7.515925496,3.717147554,0.258012584,8.217921592,3.564106349,15.05519198,792597,375894,18028,67715,146498,59571,29462,2045,65135,28249
Jilin,31.11110048,1.905249361,23.42313469,18.57223492,6.181656414,3.452218087,0.242042726,11.29995121,3.812412104,13.68832933,209054,65039,3983,48967,38826,12923,7217,506,23623,7970
Heilongjiang,31.65292693,1.342336479,20.65525907,20.8441805,7.428047149,2.04966193,0.284738041,12.95241711,2.790432802,12.55287992,221256,70034,2970,45701,46119,16435,4535,630,28658,6174
Shanghai,74.0702582,1.675109046,2.023832262,9.535657765,5.642596953,1.247841492,0,4.129107986,1.675596294,8.566034739,4104688,3040353,68758,83072,391409,231611,51220,,169487,68778
Jiangsu,74.91187627,1.635358524,2.906819314,7.522589038,4.022040258,1.002155406,0.169508048,5.957482784,1.872170353,7.065874065,3323736,2489873,54355,96615,250031,133682,33309,5634,198011,62226
Zhejiang,81.7790488,0.677466146,1.233721923,11.14371063,1.904666476,0.370628037,0.073201557,2.243846363,0.57371007,2.922206139,5259451,4301129,35631,64887,586098,100175,19493,3850,118014,30174
Anhui,36.19094196,3.228714172,8.522961557,11.31440407,4.626193467,1.463645401,0.299505512,29.95342801,4.40020585,10.78955023,312849,113223,10101,26664,35397,14473,4579,937,93709,13766
Fujian,76.68824182,0.713878199,2.766627539,11.76226716,3.196481585,0.398074744,0.050384444,3.366616461,1.057428049,4.702368822,1859701,1426172,13276,51451,218743,59445,7403,937,62609,19665
Jiangxi,30.96159467,2.140644181,32.74526997,9.24767639,4.140215506,1.37760371,0.289550087,14.97905341,4.118392081,9.925761384,256605,79449,5493,84026,23730,10624,3535,743,38437,10568
Shandong,45.08870123,4.856560663,11.84562472,15.82934876,6.106564645,2.160323735,0.358372701,8.839647595,4.914855955,13.54011704,941757,424626,45737,111557,149074,57509,20345,3375,83248,46286
Henan,38.18236812,3.529198258,14.70922729,15.33311824,4.665268592,1.778512663,0.282706888,15.43474754,6.084852396,12.81134054,247960,94677,8751,36473,38020,11568,4410,701,38272,15088
Hubei,37.19150676,2.26102937,21.46764711,12.99732424,4.748745807,3.263260295,0.27813537,13.25703707,4.535313981,12.82545545,445107,165542,10064,95554,57852,21137,14525,1238,59008,20187
Hunan,36.91338327,2.397260274,20.35723634,15.48730477,3.491654929,1.527852219,0.214080048,15.83506799,3.776160146,9.009747342,320908,118458,7693,65328,49700,11205,4903,687,50816,12118
Guangdong,83.31795309,1.813050261,1.035832428,7.744812761,2.65919073,0.352490351,0.037172701,1.527762365,1.511735309,4.560589091,9533878,7943432,172854,98755,738381,253524,33606,3544,145655,144127
Guangxi,51.05372153,2.481111202,7.570817056,16.10654217,4.329054611,1.14536796,0.179043421,12.74012924,4.394212818,10.04767881,352987,180213,8758,26724,56854,15281,4043,632,44971,15511
Hainan,43.60852978,4.188428722,12.08588039,22.47543298,4.213511556,0.690182498,0.138764711,5.926830946,6.672438416,11.71489718,247181,107792,10353,29874,55555,10415,1706,343,14650,16493
Chongqing,39.34324202,3.72221249,19.85786994,10.88034889,7.523949584,3.130042321,0.163198318,11.57371124,3.805425192,14.62261541,433828,170682,16148,86149,47202,32641,13579,708,50210,16509
Sichuan,39.78677059,4.364130227,15.77418074,9.122398357,7.742714192,2.586681121,0.185180334,14.05133868,6.386605759,16.90118141,496273,197451,21658,78283,45272,38425,12837,919,69733,31695
Guizhou,49.26879276,2.047052735,5.212615085,18.35567623,5.234559491,1.05234887,0.114962482,14.29104832,4.422944022,10.82481486,305317,150426,6250,15915,56043,15982,3213,351,43633,13504
Yunan,61.86555278,2.190015084,5.376623103,18.97450503,3.707055684,0.485427676,0.118772613,4.731495839,2.550552198,6.861808171,474015,293252,10381,25486,89942,17572,2301,563,22428,12090
Tibet,81.24557679,1.794448376,2.030353071,8.207910671,2.079106708,0.242195486,0.132106629,1.292757726,2.975544547,5.42895337,63585,51660,1141,1291,5219,1322,154,84,822,1892
Shaanxi,41.54632831,5.652121762,24.06089147,14.96576289,3.427622281,0.960620805,0.094132495,4.533744283,4.758775704,9.241151285,383502,159331,21676,92274,57394,13145,3684,361,17387,18250
Gansu,40.50934631,6.867265648,10.66884969,23.08026081,4.414836071,1.475276108,0.179925831,7.639037541,5.165201997,11.23524001,172849,70020,11870,18441,39894,7631,2550,311,13204,8928
Qinghai,51.83240066,2.231362649,4.213815383,25.278479,4.665736932,1.308983706,0.203011633,6.181262909,4.084947129,10.2626794,113294,58723,2528,4774,28639,5286,1483,230,7003,4628
Ningxia,44.7097235,2.008638574,5.237560793,31.82056253,5.601469238,2.88405945,0.112913648,4.562119512,3.06295276,11.6613951,147015,65730,2953,7700,46781,8235,4240,166,6707,4503
Xinjiang,53.49866267,1.599546213,3.862046689,24.15404069,7.705973416,0.845466924,0.116860625,4.213678996,4.003723784,12.67202475,761591,407441,12182,29413,183955,58688,6439,890,32091,30492
